cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,influence_type,interaction_type,dims,numagents,pr_defector,pr_cooperator,pr_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.24630989496937408,0.016605448758640916,0.4644230711538577,1,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.26402089794175665,0.06500857632933103,0.47188305623388754,2,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2668118306660998,0.04945062432151309,0.46209107581784836,3,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.24984103520645298,0.055281754635565526,0.4954770090459819,4,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2623581151854092,0.056987655201940914,0.474003051993896,5,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2641541387124525,0.04919717576712091,0.4716530566938866,6,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2951108265852815,0.07424911848421768,0.40458719082561834,7,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2582266055779393,0.044866244964308424,0.47308105383789234,8,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2653127334375905,0.04620164853045413,0.4693690612618775,9,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.25258972899408344,0.03420323892316321,0.47205905588188823,10,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.26052844094775174,0.03399679557546513,0.4427131145737708,11,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
