cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,influence_type,interaction_type,dims,numagents,pr_defector,pr_cooperator,pr_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.003621495886922186,0.0,0.994260011479977,1,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0034876506930690302,0.0,0.9941020117959765,2,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003183154000874262,0.0,0.9947780104439791,3,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003584160536736054,0.0,0.9933300133399733,4,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0034395774970466405,0.0,0.9937840124319751,5,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003454591563601365,0.0,0.9938420123159754,6,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0035940192275722054,0.0,0.9935480129039742,7,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0035255692922204775,0.0,0.9941940116119767,8,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003590599026093957,0.0,0.9945660108679782,9,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003660321565497931,0.0,0.9937840124319751,10,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0033819907819346994,0.0,0.9941620116759766,11,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0034224330563399938,0.0,0.9940540118919762,12,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
