cc,cd,dc,dd,game_type,perc_cooperators,max_pos_pressure,max_neg_pressure
2.0,-1.0,6.0,2.0,Other,0.0,1,1
2.05,-0.95,5.95,1.95,PD,0.025,1,1
2.1,-0.8999999999999999,5.9,1.9,PD,0.05,1,1
2.15,-0.8500000000000001,5.85,1.85,PD,0.075,1,1
2.2,-0.8,5.8,1.8,PD,0.1,1,1
2.25,-0.75,5.75,1.75,PD,0.125,1,1
2.3,-0.7,5.7,1.7,PD,0.15,1,1
2.35,-0.6499999999999999,5.65,1.65,PD,0.175,1,1
2.4,-0.6000000000000001,5.6,1.6,PD,0.2,1,1
2.45,-0.55,5.55,1.55,PD,0.225,1,1
2.5,-0.5,5.5,1.5,PD,0.25,1,1
2.55,-0.44999999999999996,5.45,1.45,PD,0.275,1,1
2.6,-0.3999999999999999,5.4,1.4,PD,0.3,1,1
2.65,-0.3500000000000001,5.35,1.35,PD,0.325,1,1
2.7,-0.30000000000000004,5.3,1.3,PD,0.35,1,1
2.75,-0.25,5.25,1.25,PD,0.375,1,1
2.8,-0.19999999999999996,5.2,1.2,PD,0.4,1,1
2.85,-0.1499999999999999,5.15,1.15,PD,0.425,1,1
2.9,-0.10000000000000009,5.1,1.1,PD,0.45,1,1
2.95,-0.050000000000000044,5.05,1.05,PD,0.475,1,1
3.0,0.0,5.0,1.0,PD,0.5,1,1
3.05,0.050000000000000044,4.95,0.95,PD,0.525,1,1
3.1,0.10000000000000009,4.9,0.8999999999999999,PD,0.55,1,1
3.15,0.1499999999999999,4.85,0.8500000000000001,PD,0.575,1,1
3.2,0.19999999999999996,4.8,0.8,PD,0.6,1,1
3.25,0.25,4.75,0.75,PD,0.625,1,1
3.3,0.30000000000000004,4.7,0.7,PD,0.65,1,1
3.35,0.3500000000000001,4.65,0.6499999999999999,PD,0.675,1,1
3.4,0.3999999999999999,4.6,0.6000000000000001,PD,0.7,1,1
3.45,0.44999999999999996,4.55,0.55,PD,0.725,1,1
3.5,0.5,4.5,0.5,Other,0.75,1,1
3.55,0.55,4.45,0.44999999999999996,CH,0.775,1,1
3.6,0.6000000000000001,4.4,0.3999999999999999,CH,0.8,1,1
3.65,0.6499999999999999,4.35,0.3500000000000001,CH,0.825,1,1
3.7,0.7,4.3,0.30000000000000004,CH,0.85,1,1
3.75,0.75,4.25,0.25,CH,0.875,1,1
3.8,0.8,4.2,0.19999999999999996,CH,0.9,1,1
