cc,cd,dc,dd,game_type,perc_cooperators,max_pos_pressure,max_neg_pressure
7.0,-1.0,10.0,7.0,Other,0.0,1,1
7.05,-0.95,9.95,6.95,PD,0.025,1,1
7.1,-0.8999999999999999,9.9,6.9,PD,0.05,1,1
7.15,-0.8500000000000001,9.85,6.85,PD,0.075,1,1
7.2,-0.8,9.8,6.8,PD,0.1,1,1
7.25,-0.75,9.75,6.75,PD,0.125,1,1
7.3,-0.7,9.7,6.7,PD,0.15,1,1
7.35,-0.6499999999999999,9.65,6.65,PD,0.175,1,1
7.4,-0.6000000000000001,9.6,6.6,PD,0.2,1,1
7.45,-0.55,9.55,6.55,PD,0.225,1,1
7.5,-0.5,9.5,6.5,PD,0.25,1,1
7.55,-0.44999999999999996,9.45,6.45,PD,0.275,1,1
7.6,-0.3999999999999999,9.4,6.4,PD,0.3,1,1
7.65,-0.3500000000000001,9.35,6.35,PD,0.325,1,1
7.7,-0.30000000000000004,9.3,6.3,PD,0.35,1,1
7.75,-0.25,9.25,6.25,PD,0.375,1,1
7.8,-0.19999999999999996,9.2,6.2,PD,0.4,1,1
7.85,-0.1499999999999999,9.15,6.15,PD,0.425,1,1
7.9,-0.10000000000000009,9.1,6.1,PD,0.45,1,1
7.95,-0.050000000000000044,9.05,6.05,PD,0.475,1,1
8.0,0.0,9.0,6.0,PD,0.5,1,1
8.05,0.050000000000000044,8.95,5.95,PD,0.525,1,1
8.1,0.10000000000000009,8.9,5.9,PD,0.55,1,1
8.15,0.1499999999999999,8.85,5.85,PD,0.575,1,1
8.2,0.19999999999999996,8.8,5.8,PD,0.6,1,1
8.25,0.25,8.75,5.75,PD,0.625,1,1
8.3,0.30000000000000004,8.7,5.7,PD,0.65,1,1
8.35,0.3500000000000001,8.65,5.65,PD,0.675,1,1
8.4,0.3999999999999999,8.6,5.6,PD,0.7,1,1
8.45,0.44999999999999996,8.55,5.55,PD,0.725,1,1
8.5,0.5,8.5,5.5,Other,0.75,1,1
8.55,0.55,8.45,5.45,SH,0.775,1,1
8.6,0.6000000000000001,8.4,5.4,SH,0.8,1,1
8.65,0.6499999999999999,8.35,5.35,SH,0.825,1,1
8.7,0.7,8.3,5.3,SH,0.85,1,1
8.75,0.75,8.25,5.25,SH,0.875,1,1
8.8,0.8,8.2,5.2,SH,0.9,1,1
8.85,0.8500000000000001,8.15,5.15,SH,0.925,1,1
8.9,0.8999999999999999,8.1,5.1,SH,0.95,1,1
8.95,0.95,8.05,5.05,SH,0.975,1,1
9.0,1.0,8.0,5.0,SH,1.0,1,1
4.0,-4.0,10.0,7.0,Ddom,0.0,1,4
4.2,-3.8,9.95,6.95,Ddom,0.025,1,4
4.4,-3.5999999999999996,9.9,6.9,Ddom,0.05,1,4
4.6,-3.4000000000000004,9.85,6.85,Ddom,0.075,1,4
4.8,-3.2,9.8,6.8,Ddom,0.1,1,4
5.0,-3.0,9.75,6.75,Ddom,0.125,1,4
5.2,-2.8,9.7,6.7,Ddom,0.15,1,4
5.4,-2.5999999999999996,9.65,6.65,Ddom,0.175,1,4
5.6,-2.4000000000000004,9.6,6.6,Ddom,0.2,1,4
5.8,-2.2,9.55,6.55,Ddom,0.225,1,4
6.0,-2.0,9.5,6.5,Ddom,0.25,1,4
6.2,-1.7999999999999998,9.45,6.45,Ddom,0.275,1,4
6.4,-1.5999999999999996,9.4,6.4,Other,0.3,1,4
6.6,-1.4000000000000004,9.35,6.35,PD,0.325,1,4
6.8,-1.2000000000000002,9.3,6.3,PD,0.35,1,4
7.0,-1.0,9.25,6.25,PD,0.375,1,4
7.2,-0.7999999999999998,9.2,6.2,PD,0.4,1,4
7.4,-0.5999999999999996,9.15,6.15,PD,0.425,1,4
7.6,-0.40000000000000036,9.1,6.1,PD,0.45,1,4
7.8,-0.20000000000000018,9.05,6.05,PD,0.475,1,4
8.0,0.0,9.0,6.0,PD,0.5,1,4
8.05,0.050000000000000044,8.8,5.8,PD,0.525,1,4
