weight_of_present_for_move,move_increment,pr_C,move,other_strat
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,D
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.0,1.0,C,C
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,D
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.15,1.0,C,C
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,D
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.25,1.0,C,C
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,D
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.35,1.0,C,C
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,D
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.0,0.45,1.0,C,C
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,D
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.0,1.0,C,C
0.1,0.15,1.0,C,D
0.1,0.15,1.0,C,D
0.1,0.15,0.9645726925672543,C,D
0.1,0.15,0.8989381158777832,C,D
0.1,0.15,0.8061169968572591,C,D
0.1,0.15,0.6888279897387874,C,D
0.1,0.15,0.549517883332163,C,D
0.1,0.15,0.390388787566201,C,D
0.1,0.15,0.21342260137683516,C,D
0.1,0.15,0.02040303380640593,C,D
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.0,C,C
0.1,0.15,0.016624722383564626,C,C
0.1,0.15,0.04283697252877276,C,C
0.1,0.15,0.07767799765946007,C,C
0.1,0.15,0.12028492027707866,C,C
0.1,0.15,0.1698811506329354,C,C
0.1,0.15,0.22576775795320655,C,C
0.1,0.15,0.28731570454145067,C,C
0.1,0.15,0.3539588564708704,C,C
0.1,0.15,0.42518769320734817,C,C
0.1,0.15,0.5005436462701782,C,C
0.1,0.25,1.0,C,D
0.1,0.25,1.0,C,D
0.1,0.25,0.9391199829713385,C,D
0.1,0.25,0.8280779676455431,C,D
0.1,0.25,0.6718901538523272,C,D
0.1,0.25,0.47507112143843294,C,D
0.1,0.25,0.24168399226592813,C,D
0.1,0.25,0.0,C,D
0.1,0.25,0.0,C,D
0.1,0.25,0.0,C,D
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0,C,C
0.1,0.25,0.0274325213342701,C,C
0.1,0.25,0.07087179053511328,C,C
0.1,0.25,0.12871713281587227,C,C
0.1,0.25,0.1995279408685553,C,C
0.1,0.25,0.28200766811597,C,C
0.1,0.25,0.3749894226386432,C,C
0.1,0.25,0.47742300170904906,C,C
0.1,0.25,0.5883632228724143,C,C
0.1,0.25,0.706959421919443,C,C
0.1,0.25,0.8324460010617689,C,C
0.1,0.35,1.0,C,D
0.1,0.35,1.0,C,D
0.1,0.35,0.914659102672658,C,D
0.1,0.35,0.7591022950780502,C,D
0.1,0.35,0.5403511682429031,C,D
0.1,0.35,0.26472515409127073,C,D
0.1,0.35,0.0,C,D
0.1,0.35,0.0,C,D
0.1,0.35,0.0,C,D
0.1,0.35,0.0,C,D
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.0,C,C
0.1,0.35,0.03838918854162107,C,C
0.1,0.35,0.09918945822907999,C,C
0.1,0.35,0.18015970094779318,C,C
0.1,0.35,0.2792829193946351,C,C
0.1,0.35,0.39474381599679287,C,C
0.1,0.35,0.5249086229387347,C,C
0.1,0.35,0.6683069491864825,C,C
0.1,0.35,0.8236154428094556,C,C
0.1,0.35,0.9896430870701314,C,C
0.1,0.35,1.0,C,C
0.1,0.45,1.0,C,D
0.1,0.45,1.0,C,D
0.1,0.45,0.8902700552278379,C,D
0.1,0.45,0.690263104932892,C,D
0.1,0.45,0.4090068496674408,C,D
0.1,0.45,0.05462621992853467,C,D
0.1,0.45,0.0,C,D
0.1,0.45,0.0,C,D
0.1,0.45,0.0,C,D
0.1,0.45,0.0,C,D
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.0,C,C
0.1,0.45,0.04935663747497441,C,C
0.1,0.45,0.12752761120245157,C,C
0.1,0.45,0.23163148755718088,C,C
0.1,0.45,0.35907497627643753,C,C
0.1,0.45,0.5075241161237686,C,C
0.1,0.45,0.6748783419863664,C,C
0.1,0.45,0.8592471452627046,C,C
0.1,0.45,1.0,C,C
0.1,0.45,1.0,C,C
0.1,0.45,1.0,C,C
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,D
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.0,1.0,C,C
0.2,0.15,1.0,C,D
0.2,0.15,0.9475066313009303,C,D
0.2,0.15,0.8380119363416745,C,D
0.2,0.15,0.6829161803742698,C,D
0.2,0.15,0.49133957560034613,C,D
0.2,0.15,0.2705782917812072,C,D
0.2,0.15,0.026469264725896058,C,D
0.2,0.15,0.0,C,D
0.2,0.15,0.0,C,D
0.2,0.15,0.0,C,D
0.2,0.15,0.0,C,C
0.2,0.15,0.0,C,C
0.2,0.15,0.0,C,C
0.2,0.15,0.0,C,C
0.2,0.15,0.0,C,C
0.2,0.15,0.0,C,C
0.2,0.15,0.02815593936347653,C,C
0.2,0.15,0.0731806908542578,C,C
0.2,0.15,0.13170049204688283,C,C
0.2,0.15,0.20101633300098293,C,C
0.2,0.15,0.27896900576426303,C,C
0.2,0.15,0.36383114397488714,C,C
0.2,0.15,0.45422085454338645,C,C
0.2,0.15,0.5490326229981859,C,C
0.2,0.15,0.6473820377620255,C,C
0.2,0.15,0.7485615695730973,C,C
0.2,0.15,0.8520051950219547,C,C
0.2,0.15,0.9572600953810407,C,C
0.2,0.15,1.0,C,C
0.2,0.15,1.0,C,C
0.2,0.25,1.0,C,D
0.2,0.25,0.9125540119784694,C,D
0.2,0.25,0.7300972215612449,C,D
0.2,0.25,0.47163178922746535,C,D
0.2,0.25,0.15235944336044172,C,D
0.2,0.25,0.0,C,D
0.2,0.25,0.0,C,D
0.2,0.25,0.0,C,D
0.2,0.25,0.0,C,D
0.2,0.25,0.0,C,D
0.2,0.25,0.0,C,C
